298793064594510, 263093335773079, 376515029011499 @ -14, 59, -89
337669218265618, 218879644691028, 94758507317114 @ -60, -80, 532
226895012232653, 123459105544245, 213502199200302 @ 160, 303, 104
300501970298399, 314329447278049, 467279541164790 @ -32, 34, -91
388143561918162, 279175111435661, 308798092369721 @ -134, 61, 61
310217205692440, 158888488109515, 131903636341367 @ 78, 307, 265
266233805409781, 440523179923425, 421743441792296 @ 51, -263, -222
213923153356007, 229953103066777, 150547540977934 @ 182, 83, 236
357985867459403, 308234699950145, 367353953144422 @ -100, 7, -46
259917339135601, 262751871330105, 458518817923901 @ 87, 17, -389
196416418373289, 465721136899543, 301154770526496 @ 74, -116, 101
226531126192598, 477222227739431, 346509061761549 @ 40, -121, 59
239792808457531, 327388944149685, 2386999558286 @ 127, -113, 536
274606642683628, 237966533697420, 171489940195602 @ 66, 60, 188
308937573628571, 171347172023113, 121622587068364 @ 179, 281, 341
195608890992639, 199419888200921, 274078725032702 @ 74, 161, 130
344037792517118, 276600737986546, 354154373719482 @ -80, 70, 20
290895471114135, 285929752284171, 325134693007352 @ -19, 60, 55
314298879681047, 245105638724817, 243354033407654 @ 11, -30, -107
286820303633178, 327021654847180, 138476507295537 @ 20, -80, 263
294143047788743, 181783732406873, 178129991693966 @ 220, 191, -38
394266720191653, 398188378647495, 385836911173052 @ -157, -145, -106
329200839733968, 195333634902240, 134018463668737 @ 116, -30, 189
367172093410368, 407464667055975, 195632852928727 @ -176, -645, 35
329325636883521, 189392701755929, 157096184446532 @ 47, 113, -50
322965401405323, 278263562849579, 279697002884522 @ -45, 8, 10
377290392915826, 200328151799814, 525071510376029 @ -114, 160, -131
356565204663751, 314120153893849, 254503860451726 @ -111, -101, 12
308328090624911, 231729398318551, 151834221462478 @ 13, 43, 216
518365608787431, 369781815641696, 465590281056136 @ -299, -56, -142
322943159386603, 209643283716795, 140143215246452 @ 47, -10, 199
317814551942527, 57344099090049, 268940943806966 @ -29, 443, -14
199184614313019, 302281742868121, 341382506573450 @ 191, -47, -122
303128702158665, 343782376504698, 233979446806898 @ -29, -24, 148
287258097381601, 338912174275410, 345170113911486 @ -9, -18, 8
342123348885323, 264855689094815, 163791396968750 @ -95, -493, -8
318650990735962, 245557798265202, 207781699194785 @ 6, -60, -23
277262311581216, 162548622359104, 455652078809434 @ 68, 226, -468
227619823921069, 31355328596013, 107348240371124 @ 44, 339, 303
397539938321143, 187801596811561, 361303430750466 @ -135, 173, 39
314174747370693, 207916265844085, 83156482178782 @ -26, 131, 368
225010199931958, 348243190731450, 273676435161602 @ 36, 18, 140
342545497672888, 224885181995100, 326006157631832 @ -82, 76, -206
400093217617429, 521592289723827, 242128079869400 @ -146, -220, 147
222493706797639, 195475431865689, 235658285843534 @ 291, 141, -53
321700706379135, 244399665846109, 181105297246988 @ -47, 83, 199
307033537294921, 118033585752402, 326186686444952 @ -17, 294, -70
310213680617188, 433665887485932, 113937423236981 @ -30, -204, 303
277731901413162, 369273143921621, 382332716398389 @ 28, -131, -141
260251238186635, 5168117634642, 228333493890137 @ 129, 636, 25
203862735363431, 40874920969833, 189709250695598 @ 113, 375, 196
282106895810977, 186689059816551, 207185483583773 @ 51, 171, 109
310565320105726, 222385416593129, 145620641299919 @ 204, -191, 121
324588031907033, 507516426058763, 211092947433882 @ -40, -572, 90
293397897952485, 330861389588209, 388509406349127 @ -17, -7, -45
424469180517097, 346811601060123, 336255334851080 @ -266, -190, -187
354348169588391, 287994935383249, 298418441637806 @ -103, -22, -44
325575194808037, 205214165659155, 168461119201127 @ 131, -133, -295
297143973762113, 302351911048179, 284565043433480 @ -20, 24, 79
360152481875926, 291387692363568, 201220049028596 @ -122, -70, 114
341688438730311, 193352569261433, 260702329145934 @ -79, 158, 14
